step,temp,current_cost,best_cost
16200,65.99,7302.0,7217.3
16240,65.66,7295.5,7217.3
16280,65.33,7533.7,7217.3
16320,65.01,7369.9,7217.3
16360,64.68,7214.7,7214.7
16400,64.36,7221.1,7166.1
16440,64.04,7211.1,7166.1
16480,63.72,7260.6,7068.0
16520,63.4,7296.7,7068.0
16560,63.08,7271.1,7068.0
16600,62.77,7210.8,7068.0
16640,62.45,7231.8,7068.0
16680,62.14,7455.0,7068.0
16720,61.83,7062.3,7006.7
16760,61.52,7062.3,7006.7
16800,61.21,7218.8,7006.7
16840,60.91,7184.1,7006.7
16880,60.6,7081.0,7006.7
16920,60.3,6989.7,6939.3
16960,60.0,6946.1,6928.9
17000,59.7,7151.3,6928.9
17040,59.4,7072.4,6928.9
17080,59.1,7129.0,6928.9
17120,58.81,7097.9,6928.9
17160,58.51,7105.1,6928.9
17200,58.22,7165.4,6928.9
17240,57.93,6910.3,6910.3
17280,57.64,6937.7,6903.4
17320,57.35,7175.8,6853.0
17360,57.06,7298.1,6853.0
17400,56.78,7270.7,6853.0
17440,56.5,7098.3,6853.0
17480,56.21,7166.8,6853.0
17520,55.93,7127.7,6853.0
17560,55.65,7181.4,6853.0
17600,55.37,7197.0,6853.0
17640,55.1,7131.8,6853.0
17680,54.82,7179.4,6853.0
17720,54.55,7231.0,6853.0
17760,54.27,7194.1,6853.0
17800,54.0,7269.5,6853.0
17840,53.73,7298.9,6853.0
17880,53.46,7032.2,6853.0
17920,53.2,6953.3,6853.0
17960,52.93,6694.6,6694.6
18000,52.67,6491.3,6491.3
18040,52.4,6454.0,6454.0
18080,52.14,6574.0,6454.0
18120,51.88,6738.7,6454.0
18160,51.62,6688.1,6454.0
18200,51.36,6692.4,6454.0
18240,51.11,6665.9,6454.0
18280,50.85,6738.8,6454.0
18320,50.6,6952.6,6454.0
18360,50.34,6648.2,6454.0
18400,50.09,6468.3,6454.0
18440,49.84,6408.1,6388.3
18480,49.59,6352.8,6352.8
18520,49.34,6631.1,6352.8
18560,49.1,6643.7,6352.8
18600,48.85,6581.6,6352.8
18640,48.61,6556.3,6352.8
18680,48.36,6586.6,6352.8
18720,48.12,6344.2,6276.1
18760,47.88,6361.2,6276.1
18800,47.64,6280.8,6262.0
18840,47.4,6334.4,6262.0
18880,47.17,6376.0,6262.0
18920,46.93,6497.8,6262.0
18960,46.7,6435.2,6262.0
19000,46.46,6435.2,6262.0
19040,46.23,6504.4,6262.0
19080,46.0,6557.3,6262.0
19120,45.77,6477.6,6262.0
19160,45.54,6726.0,6262.0
19200,45.31,6597.4,6262.0
19240,45.09,6691.5,6262.0
19280,44.86,6606.0,6262.0
19320,44.64,6554.7,6262.0
19360,44.41,6610.5,6262.0
19400,44.19,6558.6,6262.0
19440,43.97,6502.3,6262.0
19480,43.75,6599.7,6262.0
19520,43.53,6679.8,6262.0
19560,43.31,6714.0,6262.0
19600,43.1,6669.3,6262.0
19640,42.88,6626.9,6262.0
19680,42.67,6666.1,6262.0
19720,42.45,6902.6,6262.0
19760,42.24,6913.2,6262.0
19800,42.03,6761.6,6262.0
19840,41.82,6783.8,6262.0
19880,41.61,6509.0,6262.0
19920,41.4,6537.4,6262.0
19960,41.2,6646.6,6262.0
20000,40.99,6719.1,6262.0
20040,40.79,6731.5,6262.0
20080,40.58,6463.2,6262.0
20120,40.38,6447.4,6262.0
20160,40.18,6466.1,6262.0
20200,39.98,6415.9,6262.0
20240,39.78,6220.9,6220.9
20280,39.58,6288.9,6220.9
20320,39.38,6272.2,6220.9
20360,39.18,6288.9,6220.9
20400,38.99,6284.7,6220.9
20440,38.79,6260.0,6220.9
20480,38.6,6144.2,6144.2
20520,38.4,6096.0,6096.0
20560,38.21,6077.8,6076.2
20600,38.02,6026.9,6024.6
20640,37.83,6025.9,6024.6
20680,37.64,6064.5,6024.6
20720,37.45,6107.8,6024.6
20760,37.27,6135.4,6024.6
20800,37.08,6171.0,6024.6
20840,36.9,6171.0,6024.6
20880,36.71,6162.2,6024.6
20920,36.53,6101.2,6024.6
20960,36.34,6175.1,6024.6
21000,36.16,6158.4,6024.6
